2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,392 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,393 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,394 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,395 | root | INFO | Similituds trobades per a recomanació simple
